"المحافظة","السنة","الشهر","النوع","العدد"
"القاهرة","2017","7",,"9570441"
"القاهرة","2017","7",,"0"
"الإسكندرية","2017","7",,"5108351"
"الإسكندرية","2017","7",,"70683"
"بور سعيد","2017","7",,"751073"
"بور سعيد","2017","7",,"0"
"السويس","2017","7",,"730759"
"السويس","2017","7",,"0"
"دمياط","2017","7",,"592124"
"دمياط","2017","7",,"909839"
"الدقهلية","2017","7",,"1851584"
"الدقهلية","2017","7",,"4664905"
"الشرقية","2017","7",,"1753557"
"الشرقية","2017","7",,"5438798"
"القليوبية","2017","7",,"2411599"
"القليوبية","2017","7",,"3236117"
"كفر الشيخ","2017","7",,"808942"
"كفر الشيخ","2017","7",,"2567867"
"الغربية ","2017","7",,"1416141"
"الغربية ","2017","7",,"3602404"
"المنوفية","2017","7",,"897383"
"المنوفية","2017","7",,"3421699"
"البحيرة","2017","7",,"1135213"
"البحيرة","2017","7",,"5064924"
"الإسماعيلية","2017","7",,"582990"
"الإسماعيلية","2017","7",,"726484"
"الجيزة","2017","7",,"5283586"
"الجيزة","2017","7",,"3382504"
"بنى سويف","2017","7",,"722269"
"بنى سويف","2017","7",,"2448917"
"الفيوم","2017","7",,"833582"
"الفيوم","2017","7",,"2781904"
"المنيا","2017","7",,"994734"
"المنيا","2017","7",,"4532185"
"أسيوط","2017","7",,"1143956"
"أسيوط","2017","7",,"3263379"
"سوهاج","2017","7",,"1060647"
"سوهاج","2017","7",,"3934508"
"قنا","2017","7",,"596948"
"قنا","2017","7",,"2584740"
"أسوان","2017","7",,"608755"
"أسوان","2017","7",,"872691"
" الأقصر","2017","7",,"508547"
" الأقصر","2017","7",,"747156"
"البحر الأحمر","2017","7",,"348970"
"البحر الأحمر","2017","7",,"12510"
"الوادى الجديد","2017","7",,"111951"
"الوادى الجديد","2017","7",,"130349"
"مطروح","2017","7",,"269750"
"مطروح","2017","7",,"159620"
"شمال سيناء","2017","7",,"283946"
"شمال سيناء","2017","7",,"168044"
"جنوب سيناء","2017","7",,"54312"
"جنوب سيناء","2017","7",,"48195"
"اجمالى الجمهورية","2017","7",,"40432110"
"اجمالى الجمهورية","2017","7",,"54770422"
"القاهرة","2018","7",,"9717324"
"القاهرة","2018","7",,"0"
"الإسكندرية","2018","7",,"5176825"
"الإسكندرية","2018","7",,"82993"
"بور سعيد","2018","7",,"760152"
"بور سعيد","2018","7",,"0"
"السويس","2018","7",,"743193"
"السويس","2018","7",,"0"
