"المحافظة","السنة","الشهر","محل الإقامة","العدد"
"القاهرة","2017","1",,"4844408"
"القاهرة","2017","1",,"4751405"
"الإسكندرية","2017","1",,"2536119"
"الإسكندرية","2017","1",,"2453637"
"بورسعيد","2017","1",,"350279"
"بورسعيد","2017","1",,"339144"
"السويس","2017","1",,"329315"
"السويس","2017","1",,"320326"
"دمياط","2017","1",,"706562"
"دمياط","2017","1",,"680928"
"الدقهلية","2017","1",,"3139115"
"الدقهلية","2017","1",,"3052045"
"الشرقية","2017","1",,"3476076"
"الشرقية","2017","1",,"3314721"
"القليوبية","2017","1",,"2727019"
"القليوبية","2017","1",,"2594743"
"كفر الشيخ","2017","1",,"1680584"
"كفر الشيخ","2017","1",,"1641481"
"الغربية","2017","1",,"2505947"
"الغربية","2017","1",,"2440832"
"المنوفية","2017","1",,"2115860"
"المنوفية","2017","1",,"2009600"
"البحيرة","2017","1",,"3122262"
"البحيرة","2017","1",,"2980160"
"الإسماعيلية","2017","1",,"628285"
"الإسماعيلية","2017","1",,"611423"
"الجيزة","2017","1",,"4073346"
"الجيزة","2017","1",,"3866948"
"بنى سويف","2017","1",,"1542035"
"بنى سويف","2017","1",,"1487335"
"الفيوم","2017","1",,"1732715"
"الفيوم","2017","1",,"1629698"
"المنيا","2017","1",,"2783172"
"المنيا","2017","1",,"2676623"
"أسيوط","2017","1",,"2285166"
"أسيوط","2017","1",,"2196569"
"سوهاج","2017","1",,"2464068"
"سوهاج","2017","1",,"2398240"
"قنا","2017","1",,"1614342"
"قنا","2017","1",,"1595725"
"أسوان","2017","1",,"756321"
"أسوان","2017","1",,"745626"
"الأقصر","2017","1",,"611046"
"الأقصر","2017","1",,"589818"
"البحر الأحمر","2017","1",,"214930"
"البحر الأحمر","2017","1",,"147331"
"الوادى الجديد","2017","1",,"120723"
"الوادى الجديد","2017","1",,"115040"
"مطروح","2017","1",,"253509"
"مطروح","2017","1",,"235469"
"شمال سيناء","2017","1",,"234731"
"شمال سيناء","2017","1",,"220349"
"جنوب سيناء","2017","1",,"112138"
"جنوب سيناء","2017","1",,"60400"
"اجمالى الجمهورية","2017","1",,"46960073"
"اجمالى الجمهورية","2017","1",,"45155616"
"اجمالى الجمهورية","2017","1",,"92115689"
"القاهرة","2018","1",,"5016146"
"القاهرة","2018","1",,"4639928"
"الإسكندرية","2018","1",,"2685165"
"الإسكندرية","2018","1",,"2540814"
"بورسعيد","2018","1",,"388613"
"بورسعيد","2018","1",,"367827"
"السويس","2018","1",,"379159"
"السويس","2018","1",,"358710"
"دمياط","2018","1",,"778838"
"دمياط","2018","1",,"737070"
"الدقهلية","2018","1",,"3345785"
