????????	?????	?????	??? ???????	?????
???????	2017	7	???	9570441
???????	2017	7	???	0
??????????	2017	7	???	5108351
??????????	2017	7	???	70683
??? ????	2017	7	???	751073
??? ????	2017	7	???	0
??????	2017	7	???	730759
??????	2017	7	???	0
?????	2017	7	???	592124
?????	2017	7	???	909839
????????	2017	7	???	1851584
????????	2017	7	???	4664905
???????	2017	7	???	1753557
???????	2017	7	???	5438798
?????????	2017	7	???	2411599
?????????	2017	7	???	3236117
??? ?????	2017	7	???	808942
??? ?????	2017	7	???	2567867
??????? 	2017	7	???	1416141
??????? 	2017	7	???	3602404
????????	2017	7	???	897383
????????	2017	7	???	3421699
???????	2017	7	???	1135213
???????	2017	7	???	5064924
???????????	2017	7	???	582990
???????????	2017	7	???	726484
??????	2017	7	???	5283586
??????	2017	7	???	3382504
??? ????	2017	7	???	722269
??? ????	2017	7	???	2448917
??????	2017	7	???	833582
??????	2017	7	???	2781904
??????	2017	7	???	994734
??????	2017	7	???	4532185
?????	2017	7	???	1143956
?????	2017	7	???	3263379
?????	2017	7	???	1060647
?????	2017	7	???	3934508
???	2017	7	???	596948
???	2017	7	???	2584740
?????	2017	7	???	608755
?????	2017	7	???	872691
 ??????	2017	7	???	508547
 ??????	2017	7	???	747156
????? ??????	2017	7	???	348970
????? ??????	2017	7	???	12510
?????? ??????	2017	7	???	111951
?????? ??????	2017	7	???	130349
?????	2017	7	???	269750
?????	2017	7	???	159620
???? ?????	2017	7	???	283946
???? ?????	2017	7	???	168044
???? ?????	2017	7	???	54312
???? ?????	2017	7	???	48195
?????? ?????????	2017	7	???	40432110
?????? ?????????	2017	7	???	54770422
???????	2018	7	???	9717324
???????	2018	7	???	0
??????????	2018	7	???	5176825
??????????	2018	7	???	82993
??? ????	2018	7	???	760152
??? ????	2018	7	???	0
??????	2018	7	???	743193
??????	2018	7	???	0
?????	2018	7	???	606690
?????	2018	7	???	920499
????????	2018	7	???	1925919
????????	2018	7	???	4700516
???????	2018	7	???	1813645
???????	2018	7	???	5518524
?????????	2018	7	???	2456770
?????????	2018	7	???	3287655
??? ?????	2018	7	???	829259
??? ?????	2018	7	???	2615954
??????? 	2018	7	???	1471592
??????? 	2018	7	???	3633042
????????	2018	7	???	927855
????????	2018	7	???	3472673
???????	2018	7	???	1204011
???????	2018	7	???	5133362
???????????	2018	7	???	599699
???????????	2018	7	???	738518
??????	2018	7	???	5368201
??????	2018	7	???	3463513
??? ????	2018	7	???	754502
??? ????	2018	7	???	2494849
??????	2018	7	???	858555
??????	2018	7	???	2846584
??????	2018	7	???	1031380
??????	2018	7	???	4642249
?????	2018	7	???	1189647
?????	2018	7	???	3337918
?????	2018	7	???	1090237
?????	2018	7	???	4038209
???	2018	7	???	609053
???	2018	7	???	2655210
?????	2018	7	???	638486
?????	2018	7	???	877354
 ??????	2018	7	???	522915
 ??????	2018	7	???	759675
????? ??????	2018	7	???	356566
????? ??????	2018	7	???	12553
?????? ??????	2018	7	???	116540
?????? ??????	2018	7	???	130600
?????	2018	7	???	284823
?????	2018	7	???	166105
???? ?????	2018	7	???	288517
???? ?????	2018	7	???	171657
???? ?????	2018	7	???	56297
???? ?????	2018	7	???	48503
?????? ?????????	2018	7	???	41398653
?????? ?????????	2018	7	???	55748715
???????	2019	7	???	9840591
???????	2019	7	???	0
??????????	2019	7	???	5235471
??????????	2019	7	???	92793
??? ????	2019	7	???	767905
??? ????	2019	7	???	0
??????	2019	7	???	754531
??????	2019	7	???	0
?????	2019	7	???	619802
?????	2019	7	???	929133
????????	2019	7	???	1994978
????????	2019	7	???	4730081
???????	2019	7	???	1876108
???????	2019	7	???	5583305
?????????	2019	7	???	2497634
?????????	2019	7	???	3332367
??? ?????	2019	7	???	850691
??? ?????	2019	7	???	2656678
??????? 	2019	7	???	1522905
??????? 	2019	7	???	3659115
????????	2019	7	???	954375
????????	2019	7	???	3519305
???????	2019	7	???	1267059
???????	2019	7	???	5194093
???????????	2019	7	???	616765
???????????	2019	7	???	747084
??????	2019	7	???	5442716
??????	2019	7	???	3539462
??? ????	2019	7	???	785395
??? ????	2019	7	???	2536985
??????	2019	7	???	879886
??????	2019	7	???	2904780
??????	2019	7	???	1070080
??????	2019	7	???	4738767
?????	2019	7	???	1231979
?????	2019	7	???	3406631
?????	2019	7	???	1119363
?????	2019	7	???	4135507
???	2019	7	???	619801
???	2019	7	???	2720609
?????	2019	7	???	666840
?????	2019	7	???	879261
 ??????	2019	7	???	535347
 ??????	2019	7	???	773239
????? ??????	2019	7	???	363696
