"_v","المديرية","السنة","النوع","العدد"
,"القاهرة","2017","ذكور","0"
,"الغربية","2017","إناث","328"
,"الإسكندرية","2017","إناث","127"
,"القاهرة","2017","إناث","0"
,"الإسكندرية","2017","ذكور","148"
,"البحيرة","2017","ذكور","697"
,"القليوبية","2017","إناث","230"
,"الدقهلية","2017","إناث","420"
,"دمياط","2017","ذكور","125"
,"الشرقية","2017","إناث","621"
,"بورسعيد","2017","إناث","15"
,"الإسماعيلية","2017","إناث","228"
,"الجيزة","2017","ذكور","172"
,"الفيوم","2017","ذكور","305"
,"قنا","2017","ذكور","620"
,"قنا","2017","إناث","318"
,"الأقصر","2017","ذكور","202"
,"أسوان","2017","ذكور","192"
,"أسوان","2017","إناث","125"
,"جنوب سيناء","2017","ذكور","17"
,"جنوب سيناء","2017","إناث","3"
,"الإسكندرية","2018","ذكور","149"
,"البحيرة","2018","ذكور","672"
,"الغربية","2018","ذكور","310"
,"المنوفية","2018","ذكور","303"
,"القليوبية","2018","ذكور","316"
,"بورسعيد","2018","ذكور","33"
,"السويس","2018","إناث","17"
,"الفيوم","2018","إناث","151"
,"بنى سويف","2018","ذكور","343"
,"بنى سويف","2018","إناث","220"
,"أسيوط","2018","إناث","344"
,"قنا","2018","ذكور","612"
,"قنا","2018","إناث","314"
,"الأقصر","2018","ذكور","208"
,"الأقصر","2018","إناث","67"
,"الإسكندرية","2019","إناث","114"
,"كفر الشيخ","2019","ذكور","521"
,"المنوفية","2019","ذكور","284"
,"المنوفية","2019","إناث","226"
,"القليوبية","2019","ذكور","306"
,"دمياط","2019","ذكور","111"
,"الإسماعيلية","2019","ذكور","212"
,"الجيزة","2019","إناث","132"
,"الفيوم","2019","إناث","140"
,"المنيا","2019","ذكور","812"
,"المنيا","2019","إناث","477"
,"سوهاج","2019","إناث","150"
,"الوادى الجديد","2019","ذكور","217"
,"شمال سيناء","2019","إناث","27"
,"جنوب سيناء","2019","ذكور","17"
,"اجمالى الجمهورية","2019","إناث","5158"
,"البحيرة","2020","ذكور","595"
,"الغربية","2020","إناث","296"
,"الإسماعيلية","2020","ذكور","200"
,"الإسماعيلية","2020","إناث","214"
,"الفيوم","2020","ذكور","265"
,"بنى سويف","2020","ذكور","333"
,"المنيا","2020","ذكور","728"
,"أسيوط","2020","ذكور","392"
,"البحر الأحمر","2020","ذكور","3"
,"البحر الأحمر","2020","إناث","1"
,"شمال سيناء","2020","إناث","22"
,"جنوب سيناء","2020","ذكور","22"
,"جنوب سيناء","2020","إناث","10"
,"الغربية","2021","إناث","281"
,"كفر الشيخ","2021","إناث","473"
,"المنوفية","2021","ذكور","194"
,"كفر الشيخ","2017","ذكور","529"
,"المنوفية","2017","إناث","257"
,"الشرقية","2017","ذكور","861"
,"الفيوم","2017","إناث","152"
,"سوهاج","2017","إناث","152"
,"الأقصر","2017","إناث","59"
,"مطروح","2017","إناث","14"
,"الوادى الجديد","2017","ذكور","209"
,"البحر الأحمر","2017","ذكور","0"
,"شمال سيناء","2017","ذكور","95"
,"القاهرة","2018","إناث","0"
,"البحيرة","2018","إناث","365"
,"كفر الشيخ","2018","إناث","501"
,"الدقهلية","2018","ذكور","631"
,"الدقهلية","2018","إناث","398"
,"دمياط","2018","إناث","98"
,"الشرقية","2018","إناث","612"
,"بورسعيد","2018","إناث","13"
,"الإسماعيلية","2018","إناث","218"
,"السويس","2018","ذكور","28"
,"المنيا","2018","ذكور","824"
,"المنيا","2018","إناث","460"
,"أسيوط","2018","ذكور","438"
,"سوهاج","2018","إناث","147"
,"أسوان","2018","إناث","123"
,"مطروح","2018","إناث","14"
,"شمال سيناء","2018","إناث","27"
,"جنوب سيناء","2018","ذكور","15"
,"القاهرة","2019","ذكور","0"
,"القليوبية","2019","إناث","221"
,"دمياط","2019","إناث","91"
,"الشرقية","2019","إناث","611"
,"بورسعيد","2019","إناث","11"
,"الإسماعيلية","2019","إناث","218"
,"السويس","2019","إناث","15"
,"الفيوم","2019","ذكور","278"
,"أسيوط","2019","ذكور","427"
,"قنا","2019","ذكور","592"
,"قنا","2019","إناث","310"
,"شمال سيناء","2019","ذكور","93"
,"جنوب سيناء","2019","إناث","9"
,"الإسكندرية","2020","ذكور","124"
,"البحيرة","2020","إناث","341"
,"كفر الشيخ","2020","ذكور","505"
,"كفر الشيخ","2020","إناث","500"
,"المنوفية","2020","ذكور","243"
,"المنوفية","2020","إناث","202"
,"القليوبية","2020","ذكور","269"
,"الدقهلية","2020","ذكور","551"
,"دمياط","2020","ذكور","96"
,"الشرقية","2020","ذكور","794"
,"بورسعيد","2020","ذكور","31"
,"سوهاج","2020","إناث","142"
,"الأقصر","2020","ذكور","183"
,"أسوان","2020","ذكور","177"
,"الوادى الجديد","2020","ذكور","217"
,"شمال سيناء","2020","ذكور","92"
,"الإسكندرية","2021","ذكور","120"
,"الإسكندرية","2021","إناث","103"
,"الغربية","2021","ذكور","249"
,"كفر الشيخ","2021","ذكور","479"
,"القليوبية","2021","ذكور","253"
,"دمياط","2021","ذكور","87"
,"دمياط","2021","إناث","73"
,"المنوفية","2021","إناث","167"
,"القليوبية","2021","إناث","191"
,"الدقهلية","2021","إناث","321"
,"الشرقية","2021","ذكور","769"
,"بورسعيد","2021","ذكور","30"
,"الإسماعيلية","2021","إناث","206"
,"الفيوم","2021","إناث","119"
,"بنى سويف","2021","ذكور","331"
,"بورسعيد","2021","إناث","11"
,"السويس","2021","إناث","17"
,"الجيزة","2021","ذكور","146"
,"الفيوم","2021","ذكور","243"
,"بنى سويف","2021","إناث","199"
,"البحيرة","2017","إناث","367"
,"كفر الشيخ","2017","إناث","497"
,"الدقهلية","2017","ذكور","691"
,"بورسعيد","2017","ذكور","30"
,"الإسماعيلية","2017","ذكور","237"
,"الجيزة","2017","إناث","134"
,"بنى سويف","2017","إناث","215"
,"المنيا","2017","إناث","470"
,"أسيوط","2017","ذكور","465"
,"سوهاج","2017","ذكور","386"
,"البحر الأحمر","2017","إناث","0"
